Category	Sales_Month	Distinct_Customers	Distinct_Orders	Sales	Qty
Dairy Products	200612	14	16	10952.6600000	653
Dairy Products	200701	8	9	9066.4000000	448
Dairy Products	200702	12	12	5584.8400000	248
Dairy Products	200703	10	11	9728.9000000	311
Dairy Products	200704	8	8	5775.6000000	231
Dairy Products	200705	16	17	10435.5750000	494
Dairy Products	200706	11	13	8455.8000000	405
Dairy Products	200707	9	11	12387.3500000	374
Dairy Products	200708	9	10	6826.5500000	256
Dairy Products	200709	12	14	11420.3000000	435
Dairy Products	200710	14	15	12869.0000000	422
Dairy Products	200711	14	15	12992.4750000	344
Dairy Products	200712	13	16	9844.8500000	406
Dairy Products	200801	17	19	18303.8500000	622
Dairy Products	200802	11	12	10842.0000000	446
Dairy Products	200803	19	23	13685.3250000	581
Dairy Products	200804	30	33	34679.9000000	1005
Dairy Products	200805	3	3	628.1200000	35
Grains/Cereals	200607	4	4	1256.8600000	83
Grains/Cereals	200608	2	2	270.6000000	11
Grains/Cereals	200609	4	4	819.2000000	32
Grains/Cereals	200610	7	7	2460.5600000	156
Grains/Cereals	200611	5	5	2506.7000000	139
Grains/Cereals	200612	5	5	2194.0000000	128
Grains/Cereals	200701	5	6	4547.8000000	232
Grains/Cereals	200702	7	9	4693.7000000	216
Grains/Cereals	200703	6	6	3167.6000000	174
Grains/Cereals	200704	9	9	6544.4000000	240
Grains/Cereals	200705	4	5	2267.2500000	149
Grains/Cereals	200706	9	10	6345.8500000	292
Grains/Cereals	200707	8	8	4457.8000000	243
Grains/Cereals	200708	8	9	5415.2500000	204
Grains/Cereals	200709	11	12	5371.4750000	262
Grains/Cereals	200710	5	5	3031.0000000	112
Grains/Cereals	200711	9	10	5787.3500000	310
Grains/Cereals	200712	9	11	5242.3500000	202
Grains/Cereals	200801	15	16	12078.8250000	544
Grains/Cereals	200802	9	9	4004.0125000	211
Grains/Cereals	200803	13	13	3325.4000000	189
Grains/Cereals	200804	13	15	5537.6000000	297
Grains/Cereals	200805	2	2	4419.0050000	136
Meat/Poultry	200607	4	4	2661.7200000	76
Meat/Poultry	200608	6	6	3495.6600000	111
Meat/Poultry	200609	4	4	4291.0000000	100
Meat/Poultry	200610	5	5	3651.3000000	153
Meat/Poultry	200611	8	8	5757.1800000	201
Meat/Poultry	200612	8	8	8956.8000000	309
Meat/Poultry	200701	10	10	6842.8500000	219
Meat/Poultry	200702	7	9	7561.0200000	380
Meat/Poultry	200703	5	5	2998.4800000	102
Meat/Poultry	200704	6	6	6613.4400000	93
Meat/Poultry	200705	7	7	3395.5100000	136
Meat/Poultry	200706	5	5	4923.5000000	130
Meat/Poultry	200707	5	5	4806.3000000	179
Meat/Poultry	200708	5	5	4888.2400000	105
Meat/Poultry	200709	7	7	10945.9700000	176
Meat/Poultry	200710	9	11	14203.6360000	378
Meat/Poultry	200711	2	2	1029.0000000	32
Meat/Poultry	200712	10	11	12767.1620000	259
Meat/Poultry	200801	8	8	5149.4715000	133
Meat/Poultry	200802	9	11	21696.0500000	302
Meat/Poultry	200803	8	8	4083.6600000	92
Meat/Poultry	200804	11	13	18617.5600000	405
Meat/Poultry	200805	3	3	3686.8500000	128
Produce	200607	5	5	3868.8000000	156
Produce	200608	2	2	804.3200000	22
Produce	200609	2	2	1164.8000000	32
Produce	200610	4	4	2491.1600000	81
Produce	200611	3	3	2365.8800000	63
Produce	200612	9	9	3190.8200000	195
Produce	200701	5	5	2704.9200000	124
Produce	200702	5	5	2679.6000000	103
Produce	200703	4	5	3676.8000000	122
Produce	200704	6	6	5893.8600000	186
Produce	200705	4	4	3099.6000000	71
Produce	200706	6	6	5823.7000000	149
Produce	200707	2	2	1650.0000000	55
Produce	200708	6	6	4284.0000000	119
Produce	200709	4	4	2827.2750000	73
Produce	200710	4	4	7017.4000000	185
Produce	200711	5	5	3125.7125000	81
Produce	200712	9	10	12157.9000000	315
Produce	200801	6	6	1526.0000000	58
Produce	200802	4	4	1172.8000000	37
Produce	200803	15	15	13031.2000000	351
Produce	200804	13	13	14290.6500000	367
Produce	200805	4	4	1137.3825000	45
Seafood	200607	7	7	2400.3250000	187
Seafood	200608	7	9	3982.7400000	257
Seafood	200609	7	8	3009.8000000	177
Seafood	200610	9	10	5812.0000000	310
Seafood	200611	4	4	1042.9000000	67
Seafood	200612	11	13	3143.4600000	288
Seafood	200701	7	8	1811.7500000	154
Seafood	200702	6	8	2010.9000000	147
Seafood	200703	10	10	3483.5000000	175
Seafood	200704	9	9	4048.2900000	241
Seafood	200705	12	14	6018.2600000	401
Seafood	200706	8	9	3298.3675000	144
Seafood	200707	7	9	7847.7500000	366
Seafood	200708	12	12	8711.0500000	302
Seafood	200709	12	16	9053.7550000	630
Seafood	200710	11	14	6886.6775000	431
Seafood	200711	15	16	7881.7500000	414
Seafood	200712	14	14	5907.1675000	274
Seafood	200801	18	20	13798.2350000	735
Seafood	200802	19	21	11281.1225000	564
Seafood	200803	24	29	9316.5450000	669
Seafood	200804	21	24	9337.1425000	630
Seafood	200805	6	7	1178.2500000	118
