custid	Customer_Name	orderid	orderdate	shippeddate	Shipper_Name	freight	Value	Freight_Value
33	Customer FVXPQ	10268	2006-07-30 00:00:00	2006-08-02 00:00:00	Shipper ZHISN	66.29	1101.2	0.0601
89	Customer YBQTI	10269	2006-07-31 00:00:00	2006-08-09 00:00:00	Shipper GVSUA	4.56	676	0.0067
87	Customer ZHYOS	10270	2006-08-01 00:00:00	2006-08-02 00:00:00	Shipper GVSUA	136.54	1376	0.0992
75	Customer XOJYP	10271	2006-08-01 00:00:00	2006-08-30 00:00:00	Shipper ETYNR	4.54	48	0.0945
65	Customer NYUHS	10272	2006-08-02 00:00:00	2006-08-06 00:00:00	Shipper ETYNR	98.03	1456	0.0673
63	Customer IRRVL	10273	2006-08-05 00:00:00	2006-08-12 00:00:00	Shipper ZHISN	76.07	2142.4	0.0355
85	Customer ENQZT	10274	2006-08-06 00:00:00	2006-08-16 00:00:00	Shipper GVSUA	6.01	538.6	0.0111
49	Customer CQRAA	10275	2006-08-07 00:00:00	2006-08-09 00:00:00	Shipper GVSUA	26.93	307.2	0.0876
80	Customer VONTK	10276	2006-08-08 00:00:00	2006-08-14 00:00:00	Shipper ZHISN	13.84	420	0.0329
52	Customer PZNLA	10277	2006-08-09 00:00:00	2006-08-13 00:00:00	Shipper ZHISN	125.77	1200.8	0.1047
5	Customer HGVLZ	10278	2006-08-12 00:00:00	2006-08-16 00:00:00	Shipper ETYNR	92.69	1488.8	0.0622
44	Customer OXFRU	10279	2006-08-13 00:00:00	2006-08-16 00:00:00	Shipper ETYNR	25.83	468	0.0551
5	Customer HGVLZ	10280	2006-08-14 00:00:00	2006-09-12 00:00:00	Shipper GVSUA	8.98	613.2	0.0146
69	Customer SIUIH	10281	2006-08-14 00:00:00	2006-08-21 00:00:00	Shipper GVSUA	2.94	86.5	0.0339
69	Customer SIUIH	10282	2006-08-15 00:00:00	2006-08-21 00:00:00	Shipper GVSUA	12.69	155.4	0.0816
46	Customer XPNIK	10283	2006-08-16 00:00:00	2006-08-23 00:00:00	Shipper ZHISN	84.81	1414.8	0.0599
44	Customer OXFRU	10284	2006-08-19 00:00:00	2006-08-27 00:00:00	Shipper GVSUA	76.56	1452	0.0527
63	Customer IRRVL	10285	2006-08-20 00:00:00	2006-08-26 00:00:00	Shipper ETYNR	76.83	2179.2	0.0352
63	Customer IRRVL	10286	2006-08-21 00:00:00	2006-08-30 00:00:00	Shipper ZHISN	229.24	3016	0.076
67	Customer QVEPD	10287	2006-08-22 00:00:00	2006-08-28 00:00:00	Shipper ZHISN	12.76	924	0.0138
66	Customer LHANT	10288	2006-08-23 00:00:00	2006-09-03 00:00:00	Shipper GVSUA	7.45	89	0.0837
11	Customer UBHAU	10289	2006-08-26 00:00:00	2006-08-28 00:00:00	Shipper ZHISN	22.77	479.4	0.0474
15	Customer JUWXK	10290	2006-08-27 00:00:00	2006-09-03 00:00:00	Shipper GVSUA	79.7	2169	0.0367
61	Customer WULWD	10291	2006-08-27 00:00:00	2006-09-04 00:00:00	Shipper ETYNR	6.4	552.8	0.0115
81	Customer YQQWW	10292	2006-08-28 00:00:00	2006-09-02 00:00:00	Shipper ETYNR	1.35	1296	0.001
80	Customer VONTK	10293	2006-08-29 00:00:00	2006-09-11 00:00:00	Shipper ZHISN	21.18	848.7	0.0249
65	Customer NYUHS	10294	2006-08-30 00:00:00	2006-09-05 00:00:00	Shipper ETYNR	147.26	1887.6	0.078
85	Customer ENQZT	10295	2006-09-02 00:00:00	2006-09-10 00:00:00	Shipper ETYNR	1.15	121.6	0.0094
46	Customer XPNIK	10296	2006-09-03 00:00:00	2006-09-11 00:00:00	Shipper GVSUA	0.12	1050.6	0.0001
7	Customer QXVLA	10297	2006-09-04 00:00:00	2006-09-10 00:00:00	Shipper ETYNR	5.74	1420	0.004
37	Customer FRXZL	10298	2006-09-05 00:00:00	2006-09-11 00:00:00	Shipper ETYNR	168.22	3127	0.0537
67	Customer QVEPD	10299	2006-09-06 00:00:00	2006-09-13 00:00:00	Shipper ETYNR	29.76	349.5	0.0851
49	Customer CQRAA	10300	2006-09-09 00:00:00	2006-09-18 00:00:00	Shipper ETYNR	17.68	608	0.029
86	Customer SNXOJ	10301	2006-09-09 00:00:00	2006-09-17 00:00:00	Shipper ETYNR	45.08	755	0.0597
76	Customer SFOGW	10302	2006-09-10 00:00:00	2006-10-09 00:00:00	Shipper ETYNR	6.27	2708.8	0.0023
30	Customer KSLQF	10303	2006-09-11 00:00:00	2006-09-18 00:00:00	Shipper ETYNR	107.83	1242	0.0868
80	Customer VONTK	10304	2006-09-12 00:00:00	2006-09-17 00:00:00	Shipper ETYNR	63.79	954.4	0.0668
55	Customer KZQZT	10305	2006-09-13 00:00:00	2006-10-09 00:00:00	Shipper ZHISN	257.62	4157	0.0619
69	Customer SIUIH	10306	2006-09-16 00:00:00	2006-09-23 00:00:00	Shipper ZHISN	7.56	498.5	0.0151
48	Customer DVFMB	10307	2006-09-17 00:00:00	2006-09-25 00:00:00	Shipper ETYNR	0.56	424	0.0013
2	Customer MLTDN	10308	2006-09-18 00:00:00	2006-09-24 00:00:00	Shipper ZHISN	1.61	88.8	0.0181
37	Customer FRXZL	10309	2006-09-19 00:00:00	2006-10-23 00:00:00	Shipper GVSUA	47.3	1762	0.0268
77	Customer LCYBZ	10310	2006-09-20 00:00:00	2006-09-27 00:00:00	Shipper ETYNR	17.52	336	0.0521
18	Customer BSVAR	10311	2006-09-20 00:00:00	2006-09-26 00:00:00	Shipper ZHISN	24.69	268.8	0.0918
86	Customer SNXOJ	10312	2006-09-23 00:00:00	2006-10-03 00:00:00	Shipper ETYNR	40.26	1614.8	0.0249
63	Customer IRRVL	10313	2006-09-24 00:00:00	2006-10-04 00:00:00	Shipper ETYNR	1.96	182.4	0.0107
65	Customer NYUHS	10314	2006-09-25 00:00:00	2006-10-04 00:00:00	Shipper ETYNR	74.16	2327	0.0318
38	Customer LJUCA	10315	2006-09-26 00:00:00	2006-10-03 00:00:00	Shipper ETYNR	41.76	516.8	0.0808
65	Customer NYUHS	10316	2006-09-27 00:00:00	2006-10-08 00:00:00	Shipper ZHISN	150.15	2835	0.0529
48	Customer DVFMB	10317	2006-09-30 00:00:00	2006-10-10 00:00:00	Shipper GVSUA	12.69	288	0.044
38	Customer LJUCA	10318	2006-10-01 00:00:00	2006-10-04 00:00:00	Shipper ETYNR	4.73	240.4	0.0196
80	Customer VONTK	10319	2006-10-02 00:00:00	2006-10-11 00:00:00	Shipper ZHISN	64.5	1191.2	0.0541
87	Customer ZHYOS	10320	2006-10-03 00:00:00	2006-10-18 00:00:00	Shipper ZHISN	34.57	516	0.0669
38	Customer LJUCA	10321	2006-10-03 00:00:00	2006-10-11 00:00:00	Shipper ETYNR	3.43	144	0.0238
58	Customer AHXHT	10322	2006-10-04 00:00:00	2006-10-23 00:00:00	Shipper ZHISN	0.4	112	0.0035
39	Customer GLLAG	10323	2006-10-07 00:00:00	2006-10-14 00:00:00	Shipper GVSUA	4.88	164.4	0.0296
71	Customer LCOUJ	10324	2006-10-08 00:00:00	2006-10-10 00:00:00	Shipper GVSUA	214.27	6155.9	0.0348
39	Customer GLLAG	10325	2006-10-09 00:00:00	2006-10-14 00:00:00	Shipper ZHISN	64.86	1497	0.0433
8	Customer QUHWH	10326	2006-10-10 00:00:00	2006-10-14 00:00:00	Shipper ETYNR	77.92	982	0.0793
24	Customer CYZTN	10327	2006-10-11 00:00:00	2006-10-14 00:00:00	Shipper GVSUA	63.36	2262.5	0.028
28	Customer XYUFB	10328	2006-10-14 00:00:00	2006-10-17 00:00:00	Shipper ZHISN	87.03	1168	0.0745
75	Customer XOJYP	10329	2006-10-15 00:00:00	2006-10-23 00:00:00	Shipper ETYNR	191.67	4819.4	0.0397
46	Customer XPNIK	10330	2006-10-16 00:00:00	2006-10-28 00:00:00	Shipper GVSUA	12.75	1940	0.0065
9	Customer RTXGC	10331	2006-10-16 00:00:00	2006-10-21 00:00:00	Shipper GVSUA	10.19	88.5	0.1151
51	Customer PVDZC	10332	2006-10-17 00:00:00	2006-10-21 00:00:00	Shipper ETYNR	52.84	2233.6	0.0236
87	Customer ZHYOS	10333	2006-10-18 00:00:00	2006-10-25 00:00:00	Shipper ZHISN	0.59	954	0.0006
84	Customer NRCSK	10334	2006-10-21 00:00:00	2006-10-28 00:00:00	Shipper ETYNR	8.56	144.8	0.0591
37	Customer FRXZL	10335	2006-10-22 00:00:00	2006-10-24 00:00:00	Shipper ETYNR	42.11	2545.2	0.0165
60	Customer QZURI	10336	2006-10-23 00:00:00	2006-10-25 00:00:00	Shipper ETYNR	15.51	316.8	0.0489
25	Customer AZJED	10337	2006-10-24 00:00:00	2006-10-29 00:00:00	Shipper ZHISN	108.26	2467	0.0438
55	Customer KZQZT	10338	2006-10-25 00:00:00	2006-10-29 00:00:00	Shipper ZHISN	84.21	934.5	0.0901
51	Customer PVDZC	10339	2006-10-28 00:00:00	2006-11-04 00:00:00	Shipper ETYNR	15.66	3463.2	0.0045
9	Customer RTXGC	10340	2006-10-29 00:00:00	2006-11-08 00:00:00	Shipper ZHISN	166.31	2564.4	0.0648
73	Customer JMIKW	10341	2006-10-29 00:00:00	2006-11-05 00:00:00	Shipper ZHISN	26.78	412	0.065
25	Customer AZJED	10342	2006-10-30 00:00:00	2006-11-04 00:00:00	Shipper ETYNR	54.83	2300.8	0.0238
44	Customer OXFRU	10343	2006-10-31 00:00:00	2006-11-06 00:00:00	Shipper GVSUA	110.37	1586	0.0695
89	Customer YBQTI	10344	2006-11-01 00:00:00	2006-11-05 00:00:00	Shipper ETYNR	23.29	2856	0.0081
63	Customer IRRVL	10345	2006-11-04 00:00:00	2006-11-11 00:00:00	Shipper ETYNR	249.06	2924.8	0.0851
65	Customer NYUHS	10346	2006-11-05 00:00:00	2006-11-08 00:00:00	Shipper ZHISN	142.08	1731.2	0.082
21	Customer KIDPX	10347	2006-11-06 00:00:00	2006-11-08 00:00:00	Shipper ZHISN	3.1	928	0.0033
86	Customer SNXOJ	10348	2006-11-07 00:00:00	2006-11-15 00:00:00	Shipper ETYNR	0.78	396	0.0019
75	Customer XOJYP	10349	2006-11-08 00:00:00	2006-11-15 00:00:00	Shipper GVSUA	8.63	141.6	0.0609
41	Customer XIIWM	10350	2006-11-11 00:00:00	2006-12-03 00:00:00	Shipper ETYNR	64.19	713.4	0.0899
20	Customer THHDP	10351	2006-11-11 00:00:00	2006-11-20 00:00:00	Shipper GVSUA	162.33	5677.6	0.0285
28	Customer XYUFB	10352	2006-11-12 00:00:00	2006-11-18 00:00:00	Shipper ZHISN	1.3	154	0.0084
59	Customer LOLJO	10353	2006-11-13 00:00:00	2006-11-25 00:00:00	Shipper ZHISN	360.63	10741.6	0.0335
58	Customer AHXHT	10354	2006-11-14 00:00:00	2006-11-20 00:00:00	Shipper ZHISN	53.8	568.8	0.0945
4	Customer HFBZG	10355	2006-11-15 00:00:00	2006-11-20 00:00:00	Shipper GVSUA	41.95	480	0.0873
86	Customer SNXOJ	10356	2006-11-18 00:00:00	2006-11-27 00:00:00	Shipper ETYNR	36.71	1106.4	0.0331
46	Customer XPNIK	10357	2006-11-19 00:00:00	2006-12-02 00:00:00	Shipper ZHISN	34.88	1360	0.0256
41	Customer XIIWM	10358	2006-11-20 00:00:00	2006-11-27 00:00:00	Shipper GVSUA	19.64	452	0.0434
72	Customer AHPOP	10359	2006-11-21 00:00:00	2006-11-26 00:00:00	Shipper ZHISN	288.43	3654.4	0.0789
7	Customer QXVLA	10360	2006-11-22 00:00:00	2006-12-02 00:00:00	Shipper ZHISN	131.7	7390.2	0.0178
63	Customer IRRVL	10361	2006-11-22 00:00:00	2006-12-03 00:00:00	Shipper ETYNR	183.17	2273.6	0.0805
9	Customer RTXGC	10362	2006-11-25 00:00:00	2006-11-28 00:00:00	Shipper GVSUA	96.04	1549.6	0.0619
17	Customer FEVNN	10363	2006-11-26 00:00:00	2006-12-04 00:00:00	Shipper ZHISN	30.54	447.2	0.0682
19	Customer RFNQC	10364	2006-11-26 00:00:00	2006-12-04 00:00:00	Shipper GVSUA	71.97	950	0.0757
3	Customer KBUDE	10365	2006-11-27 00:00:00	2006-12-02 00:00:00	Shipper ETYNR	22	403.2	0.0545
29	Customer MDLWA	10366	2006-11-28 00:00:00	2006-12-30 00:00:00	Shipper ETYNR	10.14	136	0.0745
83	Customer ZRNDE	10367	2006-11-28 00:00:00	2006-12-02 00:00:00	Shipper ZHISN	13.55	834.2	0.0162
20	Customer THHDP	10368	2006-11-29 00:00:00	2006-12-02 00:00:00	Shipper ETYNR	101.95	1834.2	0.0555
75	Customer XOJYP	10369	2006-12-02 00:00:00	2006-12-09 00:00:00	Shipper ETYNR	195.68	2527.2	0.0774
14	Customer WNMAF	10370	2006-12-03 00:00:00	2006-12-27 00:00:00	Shipper ETYNR	1.17	1174	0.0009
41	Customer XIIWM	10371	2006-12-03 00:00:00	2006-12-24 00:00:00	Shipper GVSUA	0.45	91.2	0.0049
62	Customer WFIZJ	10372	2006-12-04 00:00:00	2006-12-09 00:00:00	Shipper ETYNR	890.78	12281.2	0.0725
37	Customer FRXZL	10373	2006-12-05 00:00:00	2006-12-11 00:00:00	Shipper ZHISN	124.12	1708	0.0726
91	Customer CCFIZ	10374	2006-12-05 00:00:00	2006-12-09 00:00:00	Shipper ZHISN	3.94	459	0.0085
36	Customer LVJSO	10375	2006-12-06 00:00:00	2006-12-09 00:00:00	Shipper ETYNR	20.12	338	0.0595
51	Customer PVDZC	10376	2006-12-09 00:00:00	2006-12-13 00:00:00	Shipper ETYNR	20.39	420	0.0485
72	Customer AHPOP	10377	2006-12-09 00:00:00	2006-12-13 00:00:00	Shipper ZHISN	22.21	1016	0.0218
24	Customer CYZTN	10378	2006-12-10 00:00:00	2006-12-19 00:00:00	Shipper ZHISN	5.44	103.2	0.0527
61	Customer WULWD	10379	2006-12-11 00:00:00	2006-12-13 00:00:00	Shipper GVSUA	45.03	959.2	0.0469
37	Customer FRXZL	10380	2006-12-12 00:00:00	2007-01-16 00:00:00	Shipper ZHISN	35.03	1419.8	0.0246
46	Customer XPNIK	10381	2006-12-12 00:00:00	2006-12-13 00:00:00	Shipper ZHISN	7.99	112	0.0713
20	Customer THHDP	10382	2006-12-13 00:00:00	2006-12-16 00:00:00	Shipper GVSUA	94.77	2900	0.0326
4	Customer HFBZG	10383	2006-12-16 00:00:00	2006-12-18 00:00:00	Shipper ZHISN	34.24	899	0.038
5	Customer HGVLZ	10384	2006-12-16 00:00:00	2006-12-20 00:00:00	Shipper ZHISN	168.64	2222.4	0.0758
75	Customer XOJYP	10385	2006-12-17 00:00:00	2006-12-23 00:00:00	Shipper ETYNR	30.96	864	0.0358
21	Customer KIDPX	10386	2006-12-18 00:00:00	2006-12-25 00:00:00	Shipper ZHISN	13.99	166	0.0842
70	Customer TMXGN	10387	2006-12-18 00:00:00	2006-12-20 00:00:00	Shipper ETYNR	93.63	1058.4	0.0884
72	Customer AHPOP	10388	2006-12-19 00:00:00	2006-12-20 00:00:00	Shipper GVSUA	34.86	1274	0.0273
10	Customer EEALV	10389	2006-12-20 00:00:00	2006-12-24 00:00:00	Shipper ETYNR	47.42	1832.8	0.0258
20	Customer THHDP	10390	2006-12-23 00:00:00	2006-12-26 00:00:00	Shipper GVSUA	126.38	2275.2	0.0555
17	Customer FEVNN	10391	2006-12-23 00:00:00	2006-12-31 00:00:00	Shipper ZHISN	5.45	86.4	0.063
59	Customer LOLJO	10392	2006-12-24 00:00:00	2007-01-01 00:00:00	Shipper ZHISN	122.46	1440	0.085
71	Customer LCOUJ	10393	2006-12-25 00:00:00	2007-01-03 00:00:00	Shipper ZHISN	126.56	3302.6	0.0383
36	Customer LVJSO	10394	2006-12-25 00:00:00	2007-01-03 00:00:00	Shipper ZHISN	30.34	442	0.0686
35	Customer UMTLM	10395	2006-12-26 00:00:00	2007-01-03 00:00:00	Shipper GVSUA	184.41	2333.2	0.079
25	Customer AZJED	10396	2006-12-27 00:00:00	2007-01-06 00:00:00	Shipper ZHISN	135.35	1903.8	0.071
60	Customer QZURI	10397	2006-12-27 00:00:00	2007-01-02 00:00:00	Shipper GVSUA	60.26	843.2	0.0714
71	Customer LCOUJ	10398	2006-12-30 00:00:00	2007-01-09 00:00:00	Shipper ZHISN	89.16	2736	0.0325
83	Customer ZRNDE	10399	2006-12-31 00:00:00	2007-01-08 00:00:00	Shipper ZHISN	27.36	1765.6	0.0154
19	Customer RFNQC	10400	2007-01-01 00:00:00	2007-01-16 00:00:00	Shipper ZHISN	83.93	3063	0.0274
65	Customer NYUHS	10401	2007-01-01 00:00:00	2007-01-10 00:00:00	Shipper GVSUA	12.51	3868.6	0.0032
20	Customer THHDP	10402	2007-01-02 00:00:00	2007-01-10 00:00:00	Shipper ETYNR	67.88	2713.5	0.025
20	Customer THHDP	10403	2007-01-03 00:00:00	2007-01-09 00:00:00	Shipper ZHISN	73.79	1005.9	0.0733
49	Customer CQRAA	10404	2007-01-03 00:00:00	2007-01-08 00:00:00	Shipper GVSUA	155.97	1675	0.0931
47	Customer PSQUZ	10405	2007-01-06 00:00:00	2007-01-22 00:00:00	Shipper GVSUA	34.82	400	0.087
62	Customer WFIZJ	10406	2007-01-07 00:00:00	2007-01-13 00:00:00	Shipper GVSUA	108.04	2018.2	0.0535
56	Customer QNIVZ	10407	2007-01-07 00:00:00	2007-01-30 00:00:00	Shipper ETYNR	91.48	1194	0.0766
23	Customer WVFAF	10408	2007-01-08 00:00:00	2007-01-14 00:00:00	Shipper GVSUA	11.26	1622.4	0.0069
54	Customer TDKEG	10409	2007-01-09 00:00:00	2007-01-14 00:00:00	Shipper GVSUA	29.83	319.2	0.0934
10	Customer EEALV	10410	2007-01-10 00:00:00	2007-01-15 00:00:00	Shipper ZHISN	2.4	802	0.0029
10	Customer EEALV	10411	2007-01-10 00:00:00	2007-01-21 00:00:00	Shipper ZHISN	23.65	1208.5	0.0195
87	Customer ZHYOS	10412	2007-01-13 00:00:00	2007-01-15 00:00:00	Shipper ETYNR	3.77	372	0.0101
41	Customer XIIWM	10413	2007-01-14 00:00:00	2007-01-16 00:00:00	Shipper ETYNR	95.66	2123.2	0.045
21	Customer KIDPX	10414	2007-01-14 00:00:00	2007-01-17 00:00:00	Shipper ZHISN	21.48	231.4	0.0928
36	Customer LVJSO	10415	2007-01-15 00:00:00	2007-01-24 00:00:00	Shipper GVSUA	0.2	102.4	0.0019
87	Customer ZHYOS	10416	2007-01-16 00:00:00	2007-01-27 00:00:00	Shipper ZHISN	22.72	720	0.0315
73	Customer JMIKW	10417	2007-01-16 00:00:00	2007-01-28 00:00:00	Shipper ZHISN	70.29	11283.2	0.0062
63	Customer IRRVL	10418	2007-01-17 00:00:00	2007-01-24 00:00:00	Shipper GVSUA	17.55	1814.8	0.0096
68	Customer CCKOT	10419	2007-01-20 00:00:00	2007-01-30 00:00:00	Shipper ETYNR	137.35	2208	0.0622
88	Customer SRQVM	10420	2007-01-21 00:00:00	2007-01-27 00:00:00	Shipper GVSUA	44.12	1897.6	0.0232
61	Customer WULWD	10421	2007-01-21 00:00:00	2007-01-27 00:00:00	Shipper GVSUA	99.23	1273.2	0.0779
27	Customer WMFEA	10422	2007-01-22 00:00:00	2007-01-31 00:00:00	Shipper GVSUA	3.02	49.8	0.0606
31	Customer YJCBX	10423	2007-01-23 00:00:00	2007-02-24 00:00:00	Shipper ZHISN	24.5	1020	0.024
51	Customer PVDZC	10424	2007-01-23 00:00:00	2007-01-27 00:00:00	Shipper ETYNR	370.61	11493.2	0.0322
41	Customer XIIWM	10425	2007-01-24 00:00:00	2007-02-14 00:00:00	Shipper ETYNR	7.93	480	0.0165
29	Customer MDLWA	10426	2007-01-27 00:00:00	2007-02-06 00:00:00	Shipper GVSUA	18.69	338.2	0.0552
59	Customer LOLJO	10427	2007-01-27 00:00:00	2007-03-03 00:00:00	Shipper ETYNR	31.29	651	0.048
66	Customer LHANT	10428	2007-01-28 00:00:00	2007-02-04 00:00:00	Shipper GVSUA	11.09	192	0.0577
37	Customer FRXZL	10429	2007-01-29 00:00:00	2007-02-07 00:00:00	Shipper ETYNR	56.63	1748.5	0.0323
20	Customer THHDP	10430	2007-01-30 00:00:00	2007-02-03 00:00:00	Shipper GVSUA	458.78	5796	0.0791
10	Customer EEALV	10431	2007-01-30 00:00:00	2007-02-07 00:00:00	Shipper ETYNR	44.17	2523	0.0175
75	Customer XOJYP	10432	2007-01-31 00:00:00	2007-02-07 00:00:00	Shipper ETYNR	4.34	485	0.0089
60	Customer QZURI	10433	2007-02-03 00:00:00	2007-03-04 00:00:00	Shipper ZHISN	73.83	851.2	0.0867
24	Customer CYZTN	10434	2007-02-03 00:00:00	2007-02-13 00:00:00	Shipper ETYNR	17.92	360	0.0497
16	Customer GYBBY	10435	2007-02-04 00:00:00	2007-02-07 00:00:00	Shipper ETYNR	9.21	631.6	0.0145
7	Customer QXVLA	10436	2007-02-05 00:00:00	2007-02-11 00:00:00	Shipper ETYNR	156.66	2210.8	0.0708
87	Customer ZHYOS	10437	2007-02-05 00:00:00	2007-02-12 00:00:00	Shipper GVSUA	19.97	393	0.0508
79	Customer FAPSM	10438	2007-02-06 00:00:00	2007-02-14 00:00:00	Shipper ETYNR	8.24	567.5	0.0145
51	Customer PVDZC	10439	2007-02-07 00:00:00	2007-02-10 00:00:00	Shipper ZHISN	4.07	1078	0.0037
71	Customer LCOUJ	10440	2007-02-10 00:00:00	2007-02-28 00:00:00	Shipper ETYNR	86.53	5793.1	0.0149
55	Customer KZQZT	10441	2007-02-10 00:00:00	2007-03-14 00:00:00	Shipper ETYNR	73.02	1755	0.0416
20	Customer THHDP	10442	2007-02-11 00:00:00	2007-02-18 00:00:00	Shipper ETYNR	47.94	1792	0.0267
66	Customer LHANT	10443	2007-02-12 00:00:00	2007-02-14 00:00:00	Shipper GVSUA	13.95	537.6	0.0259
5	Customer HGVLZ	10444	2007-02-12 00:00:00	2007-02-21 00:00:00	Shipper ZHISN	3.5	1031.7	0.0033
5	Customer HGVLZ	10445	2007-02-13 00:00:00	2007-02-20 00:00:00	Shipper GVSUA	9.3	174.9	0.0531
79	Customer FAPSM	10446	2007-02-14 00:00:00	2007-02-19 00:00:00	Shipper GVSUA	14.68	273.6	0.0536
67	Customer QVEPD	10447	2007-02-14 00:00:00	2007-03-07 00:00:00	Shipper ETYNR	68.66	914.4	0.075
64	Customer LWGMD	10448	2007-02-17 00:00:00	2007-02-24 00:00:00	Shipper ETYNR	38.82	443.4	0.0875
7	Customer QXVLA	10449	2007-02-18 00:00:00	2007-02-27 00:00:00	Shipper ETYNR	53.3	1838.2	0.0289
84	Customer NRCSK	10450	2007-02-19 00:00:00	2007-03-11 00:00:00	Shipper ETYNR	7.23	531.4	0.0136
63	Customer IRRVL	10451	2007-02-19 00:00:00	2007-03-12 00:00:00	Shipper ZHISN	189.09	4277.4	0.0442
71	Customer LCOUJ	10452	2007-02-20 00:00:00	2007-02-26 00:00:00	Shipper GVSUA	140.26	2096	0.0669
4	Customer HFBZG	10453	2007-02-21 00:00:00	2007-02-26 00:00:00	Shipper ETYNR	25.36	453	0.0559
41	Customer XIIWM	10454	2007-02-21 00:00:00	2007-02-25 00:00:00	Shipper ZHISN	2.74	414	0.0066
87	Customer ZHYOS	10455	2007-02-24 00:00:00	2007-03-03 00:00:00	Shipper ETYNR	180.45	2684	0.0672
39	Customer GLLAG	10456	2007-02-25 00:00:00	2007-02-28 00:00:00	Shipper ETYNR	8.12	656	0.0123
39	Customer GLLAG	10457	2007-02-25 00:00:00	2007-03-03 00:00:00	Shipper GVSUA	11.57	1584	0.0073
76	Customer SFOGW	10458	2007-02-26 00:00:00	2007-03-04 00:00:00	Shipper ZHISN	147.06	3891	0.0377
84	Customer NRCSK	10459	2007-02-27 00:00:00	2007-02-28 00:00:00	Shipper ETYNR	25.09	1688	0.0148
24	Customer CYZTN	10460	2007-02-28 00:00:00	2007-03-03 00:00:00	Shipper GVSUA	16.27	234.8	0.0692
46	Customer XPNIK	10461	2007-02-28 00:00:00	2007-03-05 00:00:00	Shipper ZHISN	148.61	2051.6	0.0724
16	Customer GYBBY	10462	2007-03-03 00:00:00	2007-03-18 00:00:00	Shipper GVSUA	6.17	156	0.0395
76	Customer SFOGW	10463	2007-03-04 00:00:00	2007-03-06 00:00:00	Shipper ZHISN	14.78	713.3	0.0207
28	Customer XYUFB	10464	2007-03-04 00:00:00	2007-03-14 00:00:00	Shipper ETYNR	89	1848	0.0481
83	Customer ZRNDE	10465	2007-03-05 00:00:00	2007-03-14 00:00:00	Shipper ZHISN	145.04	2719	0.0533
15	Customer JUWXK	10466	2007-03-06 00:00:00	2007-03-13 00:00:00	Shipper GVSUA	11.93	216	0.0552
49	Customer CQRAA	10467	2007-03-06 00:00:00	2007-03-11 00:00:00	Shipper ETYNR	4.93	235.2	0.0209
39	Customer GLLAG	10468	2007-03-07 00:00:00	2007-03-12 00:00:00	Shipper ZHISN	44.12	717.6	0.0614
89	Customer YBQTI	10469	2007-03-10 00:00:00	2007-03-14 00:00:00	Shipper GVSUA	60.18	1125.5	0.0534
