Month,categoryname,Distinct_Customers,Orders,Sales,Qty
200607,Beverages,10,11,3438,272
200706,Produce,6,6,6231,149
200708,Confections,9,10,8025.3,335
200612,Produce,9,9,3681.8,195
200706,Dairy Products,11,13,9507.7,405
200709,Produce,4,4,2887.25,73
200706,Grains/Cereals,9,10,6882.5,292
200805,Meat/Poultry,3,3,4116,128
200704,Condiments,9,11,5903,259
200612,Grains/Cereals,5,5,2353.2,128
200609,Seafood,7,8,3377.4,177
200610,Beverages,11,12,8793.2,301
200612,Seafood,11,13,3424.4,288
200705,Meat/Poultry,7,7,3548.05,136
200802,Beverages,20,22,35869.5,834
200710,Beverages,14,17,9043,491
200703,Dairy Products,10,11,9844.4,311
200712,Seafood,14,14,6201.6,274
200803,Dairy Products,19,23,14990.8,581
200612,Condiments,3,3,1587.2,82
200707,Beverages,13,14,8343.5,327
200802,Meat/Poultry,9,11,23739.86,302
200610,Meat/Poultry,5,5,3914.1,153
200804,Condiments,14,17,10737.5,446
200705,Confections,9,9,7997.5,291
200611,Confections,8,8,3227.8,267
200709,Seafood,12,16,9489.33,630
200712,Grains/Cereals,9,11,5810.75,202
200701,Grains/Cereals,5,6,4570.2,232
200708,Beverages,14,16,6154,334
200608,Beverages,9,11,5036.4,347
200611,Meat/Poultry,8,8,5887.2,201
200803,Meat/Poultry,8,8,4203.66,92
200803,Confections,21,25,24302.85,880
200711,Meat/Poultry,2,2,1068,32
200701,Produce,5,5,2895,124
200801,Dairy Products,17,19,19448,622
200701,Dairy Products,8,9,9872,448
200609,Dairy Products,7,8,4290,140
200705,Beverages,11,12,15654,322
200611,Beverages,12,12,19712,332
200802,Condiments,10,12,6727.2,289
200712,Confections,15,16,9191.98,471
200608,Meat/Poultry,6,6,3807.2,111
200610,Condiments,6,7,4577.2,183
200804,Produce,13,13,15073,367
200710,Grains/Cereals,5,5,3392,112
200804,Grains/Cereals,13,15,5789.25,297
200703,Confections,11,11,3324.9,265
200711,Seafood,15,16,8554.05,414
200703,Seafood,10,10,3579.1,175
200804,Dairy Products,30,33,36452.1,1005
200612,Dairy Products,14,16,12165.4,653
200607,Produce,5,5,4163.4,156
200702,Beverages,9,12,3090.4,220
200707,Condiments,8,9,6798.7,300
200607,Grains/Cereals,4,4,1273.6,83
200709,Confections,15,16,7192.5,371
200707,Produce,2,2,1650,55
200707,Grains/Cereals,8,8,4780,243
200706,Confections,6,6,2494.4,107
200710,Produce,4,4,7291,185
200607,Condiments,6,6,2177.8,139
200608,Seafood,7,9,4205.4,257
200611,Seafood,4,4,1206.9,67
200710,Condiments,10,12,6780.45,270
200708,Meat/Poultry,5,5,4943.64,105
200711,Beverages,10,10,4034,248
200805,Beverages,8,8,4597,221
200610,Produce,4,4,2898.2,81
200704,Produce,6,6,6137.1,186
200704,Dairy Products,8,8,6647,231
200704,Grains/Cereals,9,9,6555.6,240
200712,Dairy Products,13,16,10590.5,406
200610,Grains/Cereals,7,7,2501.2,156
200803,Seafood,24,29,9902.09,669
