NumeDistribuitor	NumeClient	IDClient	DataComanda	DataLivrare	CostTransport	IDComanda	Vanzare	ProcentTransport
Shipper ETYNR	Customer PVDZC	51	2006-10-17 00:00:00	2006-10-21 00:00:00	52.84	10332	1786.8800000	2.957109598854
Shipper ZHISN	Customer ZHYOS	87	2006-10-18 00:00:00	2006-10-25 00:00:00	0.59	10333	877.2000000	.067259461924
Shipper ETYNR	Customer NRCSK	84	2006-10-21 00:00:00	2006-10-28 00:00:00	8.56	10334	144.8000000	5.911602209945
Shipper ETYNR	Customer FRXZL	37	2006-10-22 00:00:00	2006-10-24 00:00:00	42.11	10335	2036.1600000	2.068108596574
Shipper ETYNR	Customer QZURI	60	2006-10-23 00:00:00	2006-10-25 00:00:00	15.51	10336	285.1200000	5.439814814815
Shipper ZHISN	Customer AZJED	25	2006-10-24 00:00:00	2006-10-29 00:00:00	108.26	10337	2467.0000000	4.388325901905
Shipper ZHISN	Customer KZQZT	55	2006-10-25 00:00:00	2006-10-29 00:00:00	84.21	10338	934.5000000	9.011235955056
Shipper ETYNR	Customer PVDZC	51	2006-10-28 00:00:00	2006-11-04 00:00:00	15.66	10339	3354.0000000	.466905187835
Shipper ZHISN	Customer RTXGC	9	2006-10-29 00:00:00	2006-11-08 00:00:00	166.31	10340	2436.1800000	6.826671264028
Shipper ZHISN	Customer JMIKW	73	2006-10-29 00:00:00	2006-11-05 00:00:00	26.78	10341	352.6000000	7.595008508225
Shipper ETYNR	Customer AZJED	25	2006-10-30 00:00:00	2006-11-04 00:00:00	54.83	10342	1840.6400000	2.978855180807
Shipper GVSUA	Customer OXFRU	44	2006-10-31 00:00:00	2006-11-06 00:00:00	110.37	10343	1584.0000000	6.967803030303
Shipper ETYNR	Customer YBQTI	89	2006-11-01 00:00:00	2006-11-05 00:00:00	23.29	10344	2296.0000000	1.014372822300
Shipper ETYNR	Customer IRRVL	63	2006-11-04 00:00:00	2006-11-11 00:00:00	249.06	10345	2924.8000000	8.515454048140
Shipper ZHISN	Customer NYUHS	65	2006-11-05 00:00:00	2006-11-08 00:00:00	142.08	10346	1618.8800000	8.776438031231
Shipper ZHISN	Customer KIDPX	21	2006-11-06 00:00:00	2006-11-08 00:00:00	3.1	10347	814.4200000	.380638982343
Shipper ETYNR	Customer SNXOJ	86	2006-11-07 00:00:00	2006-11-15 00:00:00	0.78	10348	363.6000000	.214521452145
Shipper GVSUA	Customer XOJYP	75	2006-11-08 00:00:00	2006-11-15 00:00:00	8.63	10349	141.6000000	6.094632768362
Shipper ETYNR	Customer XIIWM	41	2006-11-11 00:00:00	2006-12-03 00:00:00	64.19	10350	642.0600000	9.997508021057
Shipper GVSUA	Customer THHDP	20	2006-11-11 00:00:00	2006-11-20 00:00:00	162.33	10351	5398.7250000	3.006821054971
Shipper ZHISN	Customer XYUFB	28	2006-11-12 00:00:00	2006-11-18 00:00:00	1.3	10352	136.3000000	.953778429934
Shipper ZHISN	Customer LOLJO	59	2006-11-13 00:00:00	2006-11-25 00:00:00	360.63	10353	8593.2800000	4.196651336859
Shipper ZHISN	Customer AHXHT	58	2006-11-14 00:00:00	2006-11-20 00:00:00	53.8	10354	568.8000000	9.458509142053
Shipper GVSUA	Customer HFBZG	4	2006-11-15 00:00:00	2006-11-20 00:00:00	41.95	10355	480.0000000	8.739583333333
Shipper ETYNR	Customer SNXOJ	86	2006-11-18 00:00:00	2006-11-27 00:00:00	36.71	10356	1106.4000000	3.317968185105
Shipper ZHISN	Customer XPNIK	46	2006-11-19 00:00:00	2006-12-02 00:00:00	34.88	10357	1167.6800000	2.987119758838
Shipper GVSUA	Customer XIIWM	41	2006-11-20 00:00:00	2006-11-27 00:00:00	19.64	10358	429.4000000	4.573823940382
Shipper ZHISN	Customer AHPOP	72	2006-11-21 00:00:00	2006-11-26 00:00:00	288.43	10359	3471.6800000	8.308081389990
Shipper ZHISN	Customer QXVLA	7	2006-11-22 00:00:00	2006-12-02 00:00:00	131.7	10360	7390.2000000	1.782089794593
Shipper ETYNR	Customer IRRVL	63	2006-11-22 00:00:00	2006-12-03 00:00:00	183.17	10361	2046.2400000	8.951540386269
Shipper GVSUA	Customer RTXGC	9	2006-11-25 00:00:00	2006-11-28 00:00:00	96.04	10362	1549.6000000	6.197728446051
Shipper ZHISN	Customer FEVNN	17	2006-11-26 00:00:00	2006-12-04 00:00:00	30.54	10363	447.2000000	6.829159212880
Shipper GVSUA	Customer RFNQC	19	2006-11-26 00:00:00	2006-12-04 00:00:00	71.97	10364	950.0000000	7.575789473684
Shipper ETYNR	Customer KBUDE	3	2006-11-27 00:00:00	2006-12-02 00:00:00	22	10365	403.2000000	5.456349206349
Shipper ETYNR	Customer MDLWA	29	2006-11-28 00:00:00	2006-12-30 00:00:00	10.14	10366	136.0000000	7.455882352941
Shipper ZHISN	Customer ZRNDE	83	2006-11-28 00:00:00	2006-12-02 00:00:00	13.55	10367	834.2000000	1.624310716854
Shipper ETYNR	Customer THHDP	20	2006-11-29 00:00:00	2006-12-02 00:00:00	101.95	10368	1689.7800000	6.033329782575
Shipper ETYNR	Customer XOJYP	75	2006-12-02 00:00:00	2006-12-09 00:00:00	195.68	10369	2390.4000000	8.186077643909
Shipper ETYNR	Customer WNMAF	14	2006-12-03 00:00:00	2006-12-27 00:00:00	1.17	10370	1117.6000000	.104688618468
Shipper GVSUA	Customer XIIWM	41	2006-12-03 00:00:00	2006-12-24 00:00:00	0.45	10371	72.9600000	.616776315789
Shipper ETYNR	Customer WFIZJ	62	2006-12-04 00:00:00	2006-12-09 00:00:00	890.78	10372	9210.9000000	9.670933350704
Shipper ZHISN	Customer FRXZL	37	2006-12-05 00:00:00	2006-12-11 00:00:00	124.12	10373	1366.4000000	9.083723653396
Shipper ZHISN	Customer CCFIZ	91	2006-12-05 00:00:00	2006-12-09 00:00:00	3.94	10374	459.0000000	.858387799564
Shipper ETYNR	Customer LVJSO	36	2006-12-06 00:00:00	2006-12-09 00:00:00	20.12	10375	338.0000000	5.952662721893
Shipper ETYNR	Customer PVDZC	51	2006-12-09 00:00:00	2006-12-13 00:00:00	20.39	10376	399.0000000	5.110275689223
Shipper ZHISN	Customer AHPOP	72	2006-12-09 00:00:00	2006-12-13 00:00:00	22.21	10377	863.6000000	2.571792496526
Shipper ZHISN	Customer CYZTN	24	2006-12-10 00:00:00	2006-12-19 00:00:00	5.44	10378	103.2000000	5.271317829457
Shipper GVSUA	Customer WULWD	61	2006-12-11 00:00:00	2006-12-13 00:00:00	45.03	10379	863.2800000	5.216152349180
Shipper ZHISN	Customer FRXZL	37	2006-12-12 00:00:00	2007-01-16 00:00:00	35.03	10380	1313.8200000	2.666270874245
Shipper ZHISN	Customer XPNIK	46	2006-12-12 00:00:00	2006-12-13 00:00:00	7.99	10381	112.0000000	7.133928571429
Shipper GVSUA	Customer THHDP	20	2006-12-13 00:00:00	2006-12-16 00:00:00	94.77	10382	2900.0000000	3.267931034483
Shipper ZHISN	Customer HFBZG	4	2006-12-16 00:00:00	2006-12-18 00:00:00	34.24	10383	899.0000000	3.808676307008
Shipper ZHISN	Customer HGVLZ	5	2006-12-16 00:00:00	2006-12-20 00:00:00	168.64	10384	2222.4000000	7.588192944564
Shipper ETYNR	Customer XOJYP	75	2006-12-17 00:00:00	2006-12-23 00:00:00	30.96	10385	691.2000000	4.479166666667
Shipper ZHISN	Customer KIDPX	21	2006-12-18 00:00:00	2006-12-25 00:00:00	13.99	10386	166.0000000	8.427710843373
Shipper ETYNR	Customer TMXGN	70	2006-12-18 00:00:00	2006-12-20 00:00:00	93.63	10387	1058.4000000	8.846371882086
Shipper GVSUA	Customer AHPOP	72	2006-12-19 00:00:00	2006-12-20 00:00:00	34.86	10388	1228.8000000	2.836914062500
Shipper ETYNR	Customer EEALV	10	2006-12-20 00:00:00	2006-12-24 00:00:00	47.42	10389	1832.8000000	2.587298123090
Shipper GVSUA	Customer THHDP	20	2006-12-23 00:00:00	2006-12-26 00:00:00	126.38	10390	2090.8800000	6.044344964800
Shipper ZHISN	Customer FEVNN	17	2006-12-23 00:00:00	2006-12-31 00:00:00	5.45	10391	86.4000000	6.307870370370
Shipper ZHISN	Customer LOLJO	59	2006-12-24 00:00:00	2007-01-01 00:00:00	122.46	10392	1440.0000000	8.504166666667
Shipper ZHISN	Customer LCOUJ	71	2006-12-25 00:00:00	2007-01-03 00:00:00	126.56	10393	2556.9500000	4.949647040419
Shipper ZHISN	Customer LVJSO	36	2006-12-25 00:00:00	2007-01-03 00:00:00	30.34	10394	442.0000000	6.864253393665
Shipper GVSUA	Customer UMTLM	35	2006-12-26 00:00:00	2007-01-03 00:00:00	184.41	10395	2122.9200000	8.686620315415
Shipper ZHISN	Customer AZJED	25	2006-12-27 00:00:00	2007-01-06 00:00:00	135.35	10396	1903.8000000	7.109465279966
Shipper GVSUA	Customer QZURI	60	2006-12-27 00:00:00	2007-01-02 00:00:00	60.26	10397	716.7200000	8.407746400268
Shipper ZHISN	Customer LCOUJ	71	2006-12-30 00:00:00	2007-01-09 00:00:00	89.16	10398	2505.6000000	3.558429118774
Shipper ZHISN	Customer ZRNDE	83	2006-12-31 00:00:00	2007-01-08 00:00:00	27.36	10399	1765.6000000	1.549614861803
Shipper ZHISN	Customer RFNQC	19	2007-01-01 00:00:00	2007-01-16 00:00:00	83.93	10400	3063.0000000	2.740124061378
Shipper GVSUA	Customer NYUHS	65	2007-01-01 00:00:00	2007-01-10 00:00:00	12.51	10401	3868.6000000	.323372796360
Shipper ETYNR	Customer THHDP	20	2007-01-02 00:00:00	2007-01-10 00:00:00	67.88	10402	2713.5000000	2.501566242860
Shipper ZHISN	Customer THHDP	20	2007-01-03 00:00:00	2007-01-09 00:00:00	73.79	10403	855.0150000	8.630257948691
Shipper GVSUA	Customer CQRAA	49	2007-01-03 00:00:00	2007-01-08 00:00:00	155.97	10404	1591.2500000	9.801728201100
Shipper GVSUA	Customer PSQUZ	47	2007-01-06 00:00:00	2007-01-22 00:00:00	34.82	10405	400.0000000	8.705000000000
Shipper GVSUA	Customer WFIZJ	62	2007-01-07 00:00:00	2007-01-13 00:00:00	108.04	10406	1830.7800000	5.901309824228
Shipper ETYNR	Customer QNIVZ	56	2007-01-07 00:00:00	2007-01-30 00:00:00	91.48	10407	1194.0000000	7.661641541039
Shipper GVSUA	Customer WVFAF	23	2007-01-08 00:00:00	2007-01-14 00:00:00	11.26	10408	1622.4000000	.694033530572
Shipper GVSUA	Customer TDKEG	54	2007-01-09 00:00:00	2007-01-14 00:00:00	29.83	10409	319.2000000	9.345238095238
Shipper ZHISN	Customer EEALV	10	2007-01-10 00:00:00	2007-01-15 00:00:00	2.4	10410	802.0000000	.299251870324
Shipper ZHISN	Customer EEALV	10	2007-01-10 00:00:00	2007-01-21 00:00:00	23.65	10411	966.8000000	2.446214315267
Shipper ETYNR	Customer ZHYOS	87	2007-01-13 00:00:00	2007-01-15 00:00:00	3.77	10412	334.8000000	1.126045400239
Shipper ETYNR	Customer XIIWM	41	2007-01-14 00:00:00	2007-01-16 00:00:00	95.66	10413	2123.2000000	4.505463451394
Shipper ZHISN	Customer KIDPX	21	2007-01-14 00:00:00	2007-01-17 00:00:00	21.48	10414	224.8300000	9.553885157675
Shipper GVSUA	Customer LVJSO	36	2007-01-15 00:00:00	2007-01-24 00:00:00	0.2	10415	102.4000000	.195312500000
Shipper ZHISN	Customer ZHYOS	87	2007-01-16 00:00:00	2007-01-27 00:00:00	22.72	10416	720.0000000	3.155555555556
Shipper ZHISN	Customer JMIKW	73	2007-01-16 00:00:00	2007-01-28 00:00:00	70.29	10417	11188.4000000	.628239962819
Shipper GVSUA	Customer IRRVL	63	2007-01-17 00:00:00	2007-01-24 00:00:00	17.55	10418	1814.8000000	.967048710602
Shipper ETYNR	Customer CCKOT	68	2007-01-20 00:00:00	2007-01-30 00:00:00	137.35	10419	2097.6000000	6.547959572845
Shipper GVSUA	Customer SRQVM	88	2007-01-21 00:00:00	2007-01-27 00:00:00	44.12	10420	1707.8400000	2.583380176129
Shipper GVSUA	Customer WULWD	61	2007-01-21 00:00:00	2007-01-27 00:00:00	99.23	10421	1194.2700000	8.308841384277
Shipper GVSUA	Customer WMFEA	27	2007-01-22 00:00:00	2007-01-31 00:00:00	3.02	10422	49.8000000	6.064257028112
Shipper ZHISN	Customer YJCBX	31	2007-01-23 00:00:00	2007-02-24 00:00:00	24.5	10423	1020.0000000	2.401960784314
Shipper ETYNR	Customer PVDZC	51	2007-01-23 00:00:00	2007-01-27 00:00:00	370.61	10424	9194.5600000	4.030752966972
Shipper ETYNR	Customer XIIWM	41	2007-01-24 00:00:00	2007-02-14 00:00:00	7.93	10425	360.0000000	2.202777777778
Shipper GVSUA	Customer MDLWA	29	2007-01-27 00:00:00	2007-02-06 00:00:00	18.69	10426	338.2000000	5.526315789474
Shipper ETYNR	Customer LOLJO	59	2007-01-27 00:00:00	2007-03-03 00:00:00	31.29	10427	651.0000000	4.806451612903
Shipper GVSUA	Customer LHANT	66	2007-01-28 00:00:00	2007-02-04 00:00:00	11.09	10428	192.0000000	5.776041666667
Shipper ETYNR	Customer FRXZL	37	2007-01-29 00:00:00	2007-02-07 00:00:00	56.63	10429	1441.3750000	3.928887347151
Shipper GVSUA	Customer THHDP	20	2007-01-30 00:00:00	2007-02-03 00:00:00	458.78	10430	4899.2000000	9.364386022208
Shipper ETYNR	Customer EEALV	10	2007-01-30 00:00:00	2007-02-07 00:00:00	44.17	10431	1892.2500000	2.334258158277
Shipper ETYNR	Customer XOJYP	75	2007-01-31 00:00:00	2007-02-07 00:00:00	4.34	10432	485.0000000	.894845360825
Shipper ZHISN	Customer QZURI	60	2007-02-03 00:00:00	2007-03-04 00:00:00	73.83	10433	851.2000000	8.673637218045
Shipper ETYNR	Customer CYZTN	24	2007-02-03 00:00:00	2007-02-13 00:00:00	17.92	10434	321.1200000	5.580468360737
Shipper ETYNR	Customer GYBBY	16	2007-02-04 00:00:00	2007-02-07 00:00:00	9.21	10435	631.6000000	1.458201393287
Shipper ETYNR	Customer QXVLA	7	2007-02-05 00:00:00	2007-02-11 00:00:00	156.66	10436	1994.5200000	7.854521388605
Shipper GVSUA	Customer ZHYOS	87	2007-02-05 00:00:00	2007-02-12 00:00:00	19.97	10437	393.0000000	5.081424936387
Shipper ETYNR	Customer FAPSM	79	2007-02-06 00:00:00	2007-02-14 00:00:00	8.24	10438	454.0000000	1.814977973568
Shipper ZHISN	Customer PVDZC	51	2007-02-07 00:00:00	2007-02-10 00:00:00	4.07	10439	1078.0000000	.377551020408
Shipper ETYNR	Customer LCOUJ	71	2007-02-10 00:00:00	2007-02-28 00:00:00	86.53	10440	4924.1350000	1.757262950752
Shipper ETYNR	Customer KZQZT	55	2007-02-10 00:00:00	2007-03-14 00:00:00	73.02	10441	1755.0000000	4.160683760684
Shipper ETYNR	Customer THHDP	20	2007-02-11 00:00:00	2007-02-18 00:00:00	47.94	10442	1792.0000000	2.675223214286
Shipper GVSUA	Customer LHANT	66	2007-02-12 00:00:00	2007-02-14 00:00:00	13.95	10443	517.4400000	2.695964749536
Shipper ZHISN	Customer HGVLZ	5	2007-02-12 00:00:00	2007-02-21 00:00:00	3.5	10444	1031.7000000	.339245904817
Shipper GVSUA	Customer HGVLZ	5	2007-02-13 00:00:00	2007-02-20 00:00:00	9.3	10445	174.9000000	5.317324185249
Shipper GVSUA	Customer FAPSM	79	2007-02-14 00:00:00	2007-02-19 00:00:00	14.68	10446	246.2400000	5.961663417804
Shipper ETYNR	Customer QVEPD	67	2007-02-14 00:00:00	2007-03-07 00:00:00	68.66	10447	914.4000000	7.508748906387
Shipper ETYNR	Customer LWGMD	64	2007-02-17 00:00:00	2007-02-24 00:00:00	38.82	10448	443.4000000	8.755074424899
Shipper ETYNR	Customer QXVLA	7	2007-02-18 00:00:00	2007-02-27 00:00:00	53.3	10449	1838.2000000	2.899575671853
Shipper ETYNR	Customer NRCSK	84	2007-02-19 00:00:00	2007-03-11 00:00:00	7.23	10450	425.1200000	1.700696273993
Shipper ZHISN	Customer IRRVL	63	2007-02-19 00:00:00	2007-03-12 00:00:00	189.09	10451	3849.6600000	4.911862346285
Shipper GVSUA	Customer LCOUJ	71	2007-02-20 00:00:00	2007-02-26 00:00:00	140.26	10452	2018.5000000	6.948724300223
Shipper ETYNR	Customer HFBZG	4	2007-02-21 00:00:00	2007-02-26 00:00:00	25.36	10453	407.7000000	6.220259995094
